pcd7,pcd8,pcds,dointr,doterm,usrtypind,east1m,north1m,gridind,oa21cd,cty25cd,ced25cd,lad25cd,wd25cd,nhser24cd,ctry25cd,rgn25cd,pcon24cd,ttwa15cd,itl25cd,npark16cd,lsoa21cd,msoa21cd,wz11cd,sicbl26cd,bua24cd,ruc21ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,icb26cd,ttwa_name
RH6 0WZ,RH6  0WZ,RH6 0WZ,200308,200610,1,528409,143011,1,E00155938,E10000030,E58001503,E07000211,E05012876,E40000005,E92000001,E12000008,E14001201,E30000196,E07000211,E65000001,E01035362,E02006392,E33044417,E38000267,E63012884,UN1,5B2,51.171928,-0.164563,E37000044,,E23000031,25559,E54000069,Crawley
HR9 5NP,HR9  5NP,HR9 5NP,198001,,0,360276,223796,1,E00071012,E99999999,E99999999,E06000019,E05009479,E40000011,E92000001,E12000005,E14001281,K01000005,E06000019,E65000001,E01014062,E02002926,E33021481,E38000236,E63011234,UF1,1B2,51.911278,-2.578893,E37000036,,E23000016,15224,E54000019,Cinderford and Ross-on-Wye
WA7 4YW,WA7  4YW,WA7 4YW,198001,,0,351948,380696,1,E00062635,E99999999,E99999999,E06000006,E05013171,E40000014,E92000001,E12000002,E14001455,E30000284,E06000006,E65000001,E01012415,E02002589,E33006973,E38000068,E63008579,UN1,6B3,53.321011,-2.722823,E37000022,,E23000006,22003,E54000008,Warrington and Wigan
CH431TN,CH43 1TN,CH43 1TN,199906,,0,330642,388330,1,E00036245,E11000002,E99999999,E08000015,E05000968,E40000014,E92000001,E12000002,E14001091,E30000168,E08000015,E65000001,E01007160,E02001486,E33006812,E38000208,E63008503,UN1,5B1,53.387254,-3.044296,E37000022,,E23000004,10552,E54000008,Birkenhead
RG1 1NR,RG1  1NR,RG1 1NR,198410,,0,471448,173688,1,E00174486,E99999999,E99999999,E06000038,E05013864,E40000005,E92000001,E12000008,E14001438,E30000256,E06000038,E65000001,E01033415,E02006939,E33039750,E38000221,E63012182,UN1,2B2,51.457672,-0.973019,E37000035,,E23000029,11038,E54000070,Reading
BB1 1PS,BB1  1PS,BB1 1PS,198001,,0,370205,427744,1,E00063725,E99999999,E99999999,E06000008,E05011513,E40000014,E92000001,E12000002,E14001102,E30000170,E06000008,E65000001,E01012641,E02002622,E33007124,E38000014,E63007969,UN1,8D1,53.745228,-2.453253,E37000019,,E23000003,1335,E54000048,Blackburn
SA1 7FT,SA1  7FT,SA1 7FT,201708,,0,266898,195393,1,W00010378,W99999999,W99999999,W06000011,W05001040,W99999999,W92000004,W99999999,W07000103,W22000032,W06000011,W31000001,W01000741,W02000181,W35000289,W11000031,W45001113,UN1,8A1,51.641546,-3.92495,W99999999,W99999999,W15000003,355,W99999999,Swansea
CW2 5XX,CW2  5XX,CW2 5XX,202310,,0,369292,351370,1,E00093324,E99999999,E99999999,E06000049,E05008652,E40000014,E92000001,E12000002,E14001185,E30000197,E06000049,E65000001,E01018495,E02003838,E33007471,E38000233,E63008953,UN1,1B1,53.058707,-2.459635,E37000003,,E23000006,24020,E54000008,Crewe
S11 7JW,S11  7JW,S11 7JW,198001,,0,432134,385466,1,E00040185,E11000003,E99999999,E08000039,E05010867,E40000012,E92000001,E12000003,E14001468,E30000261,E08000019,E65000001,E01007934,E02001657,E33011330,E38000146,E63008489,UN1,5A2,53.365111,-1.518569,E37000054,,E23000011,29939,E54000061,Sheffield
DL8 1SL,DL8  1SL,DL8 1SL,198001,,0,421331,489741,1,E00141365,E99999999,E99999999,E06000065,E05014312,E40000012,E92000001,E12000003,E14001444,E30000246,E06000065,E65000001,E01027758,E02005787,E33013654,E38000241,E63999999,RSN1,1C1,54.302847,-1.673717,E37000058,,E23000009,18604,E54000051,Northallerton
